RESULT_COUNT: 9424,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
2018-04-27,164.0,164.33,160.63,162.32,35490755.0,0.0,1.0,164.0,164.33,160.63,162.32,35490755.0,1
2018-04-26,164.12,165.73,163.37,164.22,27963014.0,0.0,1.0,164.12,165.73,163.37,164.22,27963014.0,1
2018-04-25,162.62,165.42,162.41,163.65,28382084.0,0.0,1.0,162.62,165.42,162.41,163.65,28382084.0,1
2018-04-24,165.67,166.33,161.2201,162.94,33692017.0,0.0,1.0,165.67,166.33,161.2201,162.94,33692017.0,1
2018-04-23,166.8348,166.92,164.09,165.24,36515477.0,0.0,1.0,166.8348,166.92,164.09,165.24,36515477.0,1
2018-04-20,170.595,171.2184,165.43,165.72,65491140.0,0.0,1.0,170.595,171.2184,165.43,165.72,65491140.0,1
2018-04-19,174.95,175.39,172.66,172.8,34808800.0,0.0,1.0,174.95,175.39,172.66,172.8,34808800.0,1
2018-04-18,177.81,178.82,176.88,177.84,20754538.0,0.0,1.0,177.81,178.82,176.88,177.84,20754538.0,1
2018-04-17,176.49,178.9365,176.41,178.24,26605442.0,0.0,1.0,176.49,178.9365,176.41,178.24,26605442.0,1
2018-04-16,175.0301,176.19,174.8301,175.82,21578420.0,0.0,1.0,175.0301,176.19,174.8301,175.82,21578420.0,1
2018-04-13,174.78,175.84,173.85,174.73,25124255.0,0.0,1.0,174.78,175.84,173.85,174.73,25124255.0,1
2018-04-12,173.41,175.0,173.04,174.14,22889285.0,0.0,1.0,173.41,175.0,173.04,174.14,22889285.0,1
2018-04-11,172.23,173.9232,171.7,172.44,22431640.0,0.0,1.0,172.23,173.9232,171.7,172.44,22431640.0,1
2018-04-10,173.0,174.0,171.53,173.25,28614241.0,0.0,1.0,173.0,174.0,171.53,173.25,28614241.0,1
2018-04-09,169.88,173.09,169.845,170.05,29017718.0,0.0,1.0,169.88,173.09,169.845,170.05,29017718.0,1
