RESULT_COUNT: 8046,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
2018-04-27,29.99,30.21,29.97,30.15,43905512.0,0.0,1.0,29.99,30.21,29.97,30.15,43905512.0,1
2018-04-26,30.04,30.28,29.99,30.07,45895396.0,0.0,1.0,30.04,30.28,29.99,30.07,45895396.0,1
2018-04-25,30.09,30.34,29.8,30.14,65857332.0,0.0,1.0,30.09,30.34,29.8,30.14,65857332.0,1
2018-04-24,30.46,30.86,30.0,30.19,81406057.0,0.0,1.0,30.46,30.86,30.0,30.19,81406057.0,1
2018-04-23,30.27,30.4,30.12,30.32,50669729.0,0.0,1.0,30.27,30.4,30.12,30.32,50669729.0,1
2018-04-20,30.26,30.53,30.13,30.26,65554554.0,0.0,1.0,30.26,30.53,30.13,30.26,65554554.0,1
2018-04-19,29.55,30.24,29.54,30.18,80849604.0,0.0,1.0,29.55,30.24,29.54,30.18,80849604.0,1
2018-04-18,30.03,30.22,29.5,29.53,79662986.0,0.0,1.0,30.03,30.22,29.5,29.53,79662986.0,1
2018-04-17,30.17,30.37,29.88,30.04,83415861.0,0.0,1.0,30.17,30.37,29.88,30.04,83415861.0,1
2018-04-16,30.08,30.37,29.47,29.93,110505552.0,0.0,1.0,30.08,30.37,29.47,29.93,110505552.0,1
2018-04-13,31.13,31.17,29.56,29.8,99138596.0,0.0,1.0,31.13,31.17,29.56,29.8,99138596.0,1
2018-04-12,30.22,30.8,30.165,30.65,57880053.0,0.0,1.0,30.22,30.8,30.165,30.65,57880053.0,1
2018-04-11,30.15,30.24,29.89,29.9,62150259.0,0.0,1.0,30.15,30.24,29.89,29.9,62150259.0,1
2018-04-10,30.48,30.58,30.23,30.48,60632504.0,0.0,1.0,30.48,30.58,30.23,30.48,60632504.0,1
2018-04-09,29.82,30.625,29.76,29.87,65917535.0,0.0,1.0,29.82,30.625,29.76,29.87,65917535.0,1
2018-04-06,30.01,30.29,29.37,29.63,79669055.0,0.0,1.0,30.01,30.29,29.37,29.63,79669055.0,1
