RESULT_COUNT: 4848,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
2018-04-27,229.5,230.3,224.62,226.33,9972155.0,0.0,1.0,229.5,230.3,224.62,226.33,9972155.0,1
2018-04-26,223.2,225.55,220.53,225.22,9395574.0,0.0,1.0,223.2,225.55,220.53,225.22,9395574.0,1
2018-04-25,220.0,221.575,210.3,216.66,14712343.0,0.0,1.0,220.0,221.575,210.3,216.66,14712343.0,1
2018-04-24,224.92,228.8,218.56,221.2,10364894.0,0.0,1.0,224.92,228.8,218.56,221.2,10364894.0,1
2018-04-23,229.43,231.5,222.83,223.88,10687723.0,0.0,1.0,229.43,231.5,222.83,223.88,10687723.0,1
2018-04-20,228.69,232.1,227.45,228.71,9654966.0,0.0,1.0,228.69,232.1,227.45,228.71,9654966.0,1
2018-04-19,231.7452,233.1,226.8,229.04,11799933.0,0.0,1.0,231.7452,233.1,226.8,229.04,11799933.0,1
2018-04-18,235.5,239.25,232.77,236.37,9784058.0,0.0,1.0,235.5,239.25,232.77,236.37,9784058.0,1
2018-04-17,233.6,238.4,231.35,237.54,11180638.0,0.0,1.0,233.6,238.4,231.35,237.54,11180638.0,1
2018-04-16,231.772,232.84,227.68,231.49,8769776.0,0.0,1.0,231.772,232.84,227.68,231.49,8769776.0,1
2018-04-13,237.17,237.51,229.55,231.5,12575892.0,0.0,1.0,237.17,237.51,229.55,231.5,12575892.0,1
2018-04-12,230.0,235.32,228.2149,234.6,14847950.0,0.0,1.0,230.0,235.32,228.2149,234.6,14847950.0,1
2018-04-11,227.31,228.976,224.921,226.24,11506057.0,0.0,1.0,227.31,228.976,224.921,226.24,11506057.0,1
2018-04-10,224.72,229.0,222.41,227.91,19118807.0,0.0,1.0,224.72,229.0,222.41,227.91,19118807.0,1
2018-04-09,216.8,221.97,214.6,215.41,12488120.0,0.0,1.0,216.8,221.97,214.6,215.41,12488120.0,1
2018-04-06,217.23,221.6,213.0735,214.25,16574720.0,0.0,1.0,217.23,221.6,213.0735,214.25,16574720.0,1
2018-04-05,228.6,229.13,218.49,221.38,17530973.0,0.0,1.0,228.6,229.13,218.49,221.38,17530973.0,1
2018-04-04,215.01,226.6606,214.0,226.24,19729161.0,0.0,1.0,215.01,226.6606,214.0,226.24,19729161.0,1
2018-04-03,227.8,230.35,221.35,225.35,16685759.0,0.0,1.0,227.8,230.35,221.35,225.35,16685759.0,1
2018-04-02,228.74,234.65,217.5,221.05,23052315.0,0.0,1.0,228.74,234.65,217.5,221.05,23052315.0,1
2018-03-29,224.105,235.5,220.7002,231.59,22915692.0,0.0,1.0,224.105,235.5,220.7002,231.59,22915692.0,1
2018-03-28,224.13,229.39,217.0,221.35,23647648.0,0.0,1.0,224.13,229.39,217.0,221.35,23647648.0,1
2018-03-27,247.75,250.0,219.845,225.52,35225012.0,0.0,1.0,247.75,250.0,219.845,225.52,35225012.0,1
2018-03-26,238.0,244.53,235.9,244.48,15285640.0,0.0,1.0,238.0,244.53,235.9,244.48,15285640.0,1
2018-03-23,242.4,242.67,232.52,232.97,18390461.0,0.0,1.0,242.4,242.67,232.52,232.97,18390461.0,1
2018-03-22,246.0,247.88,240.341,241.85,13779919.0,0.0,1.0,246.0,247.88,240.341,241.85,13779919.0,1
2018-03-21,249.32,252.0,247.33,248.56,10967216.0,0.0,1.0,249.32,252.0,247.33,248.56,10967216.0,1
2018-03-20,241.12,251.15,241.12,249.58,13867409.0,0.0,1.0,241.12,251.15,241.12,249.58,13867409.0,1
2018-03-19,248.18,249.35,237.0,241.0,17844338.0,0.0,1.0,248.18,249.35,237.0,241.0,17844338.0,1
2018-03-16,250.0,251.25,248.48,250.48,9986432.0,0.0,1.0,250.0,251.25,248.48,250.48,9986432.0,1
2018-03-15,249.29,252.62,247.64,249.34,10048837.0,0.0,1.0,249.29,252.62,247.64,249.34,10048837.0,1
2018-03-14,249.45,250.55,246.22,248.74,12637361.0,0.0,1.0,249.45,250.55,246.22,248.74,12637361.0,1
2018-03-13,251.49,254.5,246.04,247.71,15494309.0,0.0,1.0,251.49,254.5,246.04,247.71,15494309.0,1
2018-03-12,247.0,253.0,246.6723,249.76,15126541.0,0.0,1.0,247.0,253.0,246.6723,249.76,15126541.0,1
2018-03-09,243.1,245.85,242.4501,245.33,12638148.0,0.0,1.0,243.1,245.85,242.4501,245.33,12638148.0,1
2018-03-08,242.95,242.95,239.3907,241.18,10297761.0,0.0,1.0,242.95,242.95,239.3907,241.18,10297761.0,1
2018-03-07,238.0,243.95,237.95,241.84,14530226.0,0.0,1.0,238.0,243.95,237.95,241.84,14530226.0,1
2018-03-06,239.1,242.94,237.36,242.16,15920243.0,0.0,1.0,239.1,242.94,237.36,242.16,15920243.0,1
2018-03-05,234.51,237.25,229.521,235.65,15519413.0,0.0,1.0,234.51,237.25,229.521,235.65,15519413.0,1
2018-03-02,227.86,236.8,221.85,236.54,22835685.0,0.0,1.0,227.86,236.8,221.85,236.54,22835685.0,1
2018-03-01,241.91,244.09,228.1248,232.21,26002972.0,0.0,1.0,241.91,244.09,228.1248,232.21,26002972.0,1
2018-02-28,246.5,248.1,241.53,242.0,13077878.0,0.0,1.0,246.5,248.1,241.53,242.0,13077878.0,1
2018-02-27,245.5,248.91,245.13,246.06,11385899.0,0.0,1.0,245.5,248.91,245.13,246.06,11385899.0,1
2018-02-26,247.8,247.98,244.06,246.58,11732844.0,0.0,1.0,247.8,247.98,244.06,246.58,11732844.0,1
2018-02-23,244.57,245.93,242.5201,245.93,10382510.0,0.0,1.0,244.57,245.93,242.5201,245.93,10382510.0,1
2018-02-22,242.73,245.63,239.5,242.15,13359133.0,0.15,1.0,242.73,245.63,239.5,242.15,13359133.0,0.999380932728023
2018-02-21,251.69,251.9675,241.36,241.51,22307344.0,0.0,1.0,251.534186958316,251.811515167148,241.210581923236,241.360489063145,22307344.0,1
2018-02-20,244.75,251.87,244.6,249.08,17155962.0,0.0,1.0,244.598483285184,251.714075526207,244.448576145274,248.925802723896,17155962.0,1
2018-02-16,245.4,250.0,243.47,243.84,15941426.0,0.0,1.0,245.248080891457,249.845233182006,243.319275691292,243.689046636401,15941426.0,1
2018-02-15,244.785,248.37,241.52,246.5,17472515.0,0.0,1.0,244.633461617829,248.216242261659,241.370482872472,246.347399917458,17472515.0,1
2018-02-14,231.0,242.5925,230.55,241.42,18624749.0,0.0,1.0,230.856995460173,242.442318922823,230.407274040446,241.270544779199,18624749.0,1
2018-02-13,226.56,234.5,225.25,232.63,15638119.0,0.0,1.0,226.419744118861,234.354828724721,225.110555096987,232.48598638052,15638119.0,1
2018-02-12,235.355,235.48,225.0305,228.03,27329342.0,0.0,1.0,235.209299422204,235.334222038795,224.891190982253,227.888834089971,27329342.0,1
2018-02-09,238.25,238.89,217.52,232.08,41865077.0,0.0,1.0,238.102507222451,238.742111019397,217.385340487,231.93632686752,41865077.0,1
2018-02-08,233.88,235.22,217.51,217.52,28599976.0,0.0,1.0,233.73521254643,235.074382996286,217.375346677672,217.385340487,28599976.0,1
2018-02-07,229.58,234.97,226.7,228.8,20073316.0,0.0,1.0,229.4378745357,234.824537763104,226.559657449443,228.658357408172,20073316.0,1
2018-02-06,204.4,225.7,204.0,225.58,27870031.0,0.0,1.0,204.273462649608,225.560276516715,203.873710276517,225.440350804787,27870031.0,1
2018-02-05,227.0,233.23,205.0,213.7,29130140.0,0.0,1.0,226.859471729261,233.085614940157,204.873091209245,213.567705323979,29130140.0,1
2018-02-02,237.0,237.97,231.17,233.52,17961555.0,0.0,1.0,236.853281056541,237.822680561288,231.026890218737,233.375435410648,17961555.0,1
2018-02-01,238.52,246.9,238.06,240.5,12980572.0,0.0,1.0,238.372340074288,246.747152290549,237.912624845233,240.35111432109,12980572.0,1
2018-01-31,245.77,249.27,244.45,245.8,11964444.0,0.0,1.0,245.617851836566,249.115685101114,244.298669005365,245.647833264548,11964444.0,1
2018-01-30,241.11,246.42,238.41,242.72,14270844.0,0.0,1.0,240.960736690054,246.267449442839,238.262408171688,242.569739991746,14270844.0,1
2018-01-29,242.74,248.11,240.61,246.85,11377853.0,0.0,1.0,242.5897276104,247.95640321915,240.46104622369,246.697183243912,11377853.0,1
2018-01-26,238.12,243.34,237.6,243.33,12908854.0,0.0,1.0,237.972587701197,243.189356170037,237.452909616178,243.17936236071,12908854.0,1
2018-01-25,238.0,239.75,235.75,236.35,10247091.0,0.0,1.0,237.85266198927,239.601578621544,235.604054890631,236.203683450268,10247091.0,1
2018-01-24,239.04,240.4936,233.55,235.8,14499309.0,0.0,1.0,238.892018159307,240.34471828312,233.40541683863,235.654023937268,14499309.0,1
2018-01-23,235.85,239.83,235.101,238.91,11880705.0,0.0,1.0,235.703992983904,239.681529096162,234.955456665291,238.762098638052,11880705.0,1
2018-01-22,230.43,233.76,228.1,233.69,13773561.0,0.0,1.0,230.287348328518,233.615286834503,227.958790755262,233.545330169212,13773561.0,1
2018-01-19,228.09,231.09,227.0,230.11,15234486.0,0.0,1.0,227.948796945935,230.946939744119,226.859471729261,229.967546430045,15234486.0,1
2018-01-18,223.94,226.64,222.68,224.44,10215841.0,0.0,1.0,223.801366075113,226.499694593479,222.542146099876,224.301056541477,10215841.0,1
2018-01-17,220.7,225.12,216.9,224.72,13460222.0,0.0,1.0,220.563371853075,224.980635575733,216.765724308708,224.580883202641,13460222.0,1
2018-01-16,224.05,227.51,216.69,220.11,17558687.0,0.0,1.0,223.911297977714,227.369156004953,216.555854312835,219.973737102765,17558687.0,1
2018-01-12,223.6,224.99,221.34,222.98,8997902.0,0.0,1.0,223.461576557986,224.850716054478,221.202975650021,222.841960379695,8997902.0,1
2018-01-11,225.0,226.27,223.21,224.08,10150767.0,0.0,1.0,224.860709863805,226.12992364837,223.071817994222,223.941279405695,10150767.0,1
2018-01-10,218.2,223.82,216.0,223.68,14566626.0,0.0,1.0,218.064919521255,223.681440363186,215.866281469253,223.541527032604,14566626.0,1
2018-01-09,222.22,223.82,218.64,221.94,12424995.0,0.0,1.0,222.082430870821,223.681440363186,218.504647131655,221.802604209657,12424995.0,1
2018-01-08,220.4,225.0,218.58,222.0,22030422.0,0.0,1.0,220.263557573256,224.860709863805,218.444684275691,221.862567065621,22030422.0,1
2018-01-05,214.19,216.91,211.08,215.4,14503103.0,0.0,1.0,214.057401981015,216.775718118035,210.949327280231,215.266652909616,14503103.0,1
2018-01-04,215.76,218.05,212.69,213.59,14581720.0,0.0,1.0,215.626430045398,217.915012381345,212.558330581923,213.457773421378,14581720.0,1
2018-01-03,204.1,213.7,203.75,212.47,22867591.0,0.0,1.0,203.97364836979,213.567705323979,203.623865043335,212.338466776723,22867591.0,1
2018-01-02,195.78,199.5,194.5,199.35,8890417.0,0.0,1.0,195.658799009492,199.376496079241,194.3795914156,199.226588939331,8890417.0,1
2017-12-29,198.46,198.46,193.5,193.5,6999116.0,0.0,1.0,198.337139909203,198.337139909203,193.380210482872,193.380210482872,6999116.0,1
2017-12-28,198.13,199.38,197.1514,197.4,6006248.0,0.0,1.0,198.007344201403,199.256570367313,197.029350020636,197.277796120512,6006248.0,1
2017-12-27,196.9,199.97,196.31,197.17,8237223.0,0.0,1.0,196.778105654148,199.846205117623,196.188470903838,197.047938505984,8237223.0,1
2017-12-26,193.03,197.75,191.82,197.44,8877033.0,0.0,1.0,192.91050144449,197.627579446967,191.701250515889,197.317771357821,8877033.0,1
2017-12-22,194.4,195.65,191.25,195.27,11656871.0,0.0,1.0,194.279653322328,195.528879488238,191.131603384234,195.149114733801,11656871.0,1
2017-12-21,196.94,197.95,195.55,195.89,7522626.0,0.0,1.0,196.818080891457,197.827455633512,195.428941394965,195.768730912092,7522626.0,1
2017-12-20,197.7,198.07,194.55,196.8,7220456.0,0.0,1.0,197.57761040033,197.94738134544,194.429560462237,196.678167560875,7220456.0,1
2017-12-19,197.52,197.73,194.96,196.11,9327493.0,0.0,1.0,197.397721832439,197.607591828312,194.839306644655,195.988594717293,9327493.0,1
2017-12-18,193.2,198.02,192.0,197.9,11942558.0,0.0,1.0,193.080396203054,197.897412298803,191.88113908378,197.777486586876,11942558.0,1
2017-12-15,188.251,192.38,185.62,191.56,16750878.0,0.0,1.0,188.134459966983,192.260903838217,185.505088732976,191.44141147338,16750878.0,1
2017-12-14,185.92,189.34,184.6,186.47,10954056.0,0.0,1.0,185.804903012794,189.222785802724,184.485720181593,186.354562525794,10954056.0,1
2017-12-13,192.5,192.55,185.88,186.18,13856992.0,0.0,1.0,192.380829550144,192.430798596781,185.764927775485,186.064742055303,13856992.0,1
2017-12-12,192.9,193.84,189.89,190.84,11375445.0,0.0,1.0,192.780581923236,193.72,189.772445315724,190.721857201816,11375445.0,1
2017-12-11,192.06,194.78,191.42,194.66,9318741.0,0.0,1.0,191.941101939744,194.659418076764,191.301498142798,194.539492364837,9318741.0,1
2017-12-08,194.01,194.78,191.15,191.49,11671856.0,0.0,1.0,193.889894758564,194.659418076764,191.031665290962,191.371454808089,11671856.0,1
2017-12-07,191.96,193.6,190.12,191.99,13564988.0,0.0,1.0,191.841163846471,193.480148576145,190.002302930252,191.871145274453,13564988.0,1
2017-12-06,185.7,190.14,184.84,189.26,11675760.0,0.0,1.0,185.585039207594,190.022290548906,184.725571605448,189.142835328106,11675760.0,1
2017-12-05,182.4,192.7,180.58,187.74,24537194.0,0.0,1.0,182.287082129591,192.58070573669,180.468208832026,187.623776310359,24537194.0,1
2017-12-04,200.05,200.3,184.5,186.66,31021123.0,0.0,1.0,199.926155592241,200.176000825423,184.38578208832,186.544444903013,31021123.0,1
2017-12-01,199.31,200.13,192.47,197.68,20288748.0,0.0,1.0,199.186613702022,200.006106066859,192.350848122163,197.557622781676,20288748.0,1
2017-11-30,199.2,202.68,196.65,200.71,20594199.0,0.0,1.0,199.076681799422,202.554527445316,196.528260420966,200.585747007842,20594199.0,1
2017-11-29,210.01,210.1226,191.23,196.42,34919741.0,0.0,1.0,209.879989682212,209.992519975237,191.11161576558,196.298402806438,34919741.0,1
2017-11-28,214.35,214.73,208.24,210.71,12818804.0,0.0,1.0,214.217302930252,214.597067684688,208.111085431284,210.579556335122,12818804.0,1
2017-11-27,217.31,217.36,214.01,214.14,10572364.0,0.0,1.0,217.175470491127,217.225439537763,213.877513413124,214.007432934379,10572364.0,1
2017-11-24,215.59,217.0,214.6,216.96,4518800.0,0.0,1.0,215.456535286835,216.865662401981,214.467148163434,216.825687164672,4518800.0,1
2017-11-22,217.0,217.0,213.61,214.93,8915998.0,0.15,1.0,216.865662401981,216.865662401981,213.477761040033,214.796943871234,8915998.0,0.99930258508462
2017-11-21,215.69,216.52,214.4,216.05,9979358.0,0.0,1.0,215.406141080465,216.2350487586,214.117838785534,215.765667302307,9979358.0,1
2017-11-20,211.99,214.57,210.5,214.08,9902511.0,0.0,1.0,211.711010467095,214.287615056959,210.222971382252,213.798259921675,9902511.0,1
2017-11-17,213.92,215.35,210.75,211.36,12891568.0,0.0,1.0,213.638470489745,215.066588537615,210.472642369642,211.081839578873,12891568.0,1
2017-11-16,212.98,214.2,211.25,211.61,11044183.0,0.0,1.0,212.699707577159,213.918101995622,210.971984344422,211.331510566263,11044183.0,1
2017-11-15,211.95,212.0,207.8,209.98,12548731.0,0.0,1.0,211.671063109113,211.720997306591,207.526524718442,209.703655728481,12548731.0,1
2017-11-14,213.0,214.8,211.23,214.18,13232319.0,0.0,1.0,212.71968125615,214.517312365357,210.95201066543,213.898128316631,13232319.0,1
2017-11-13,216.14,217.17,212.01,212.63,14559413.0,0.0,1.0,215.855548857767,216.884193325813,211.730984146087,212.350168194813,14559413.0,1
2017-11-10,213.08,218.67,211.63,216.14,31331374.0,0.0,1.0,212.799575972115,218.382219250152,211.351484245254,215.855548857767,31331374.0,1
2017-11-09,205.27,206.33,200.37,205.32,23432127.0,0.0,1.0,204.999854326056,206.058459312589,200.106302973215,205.049788523534,23432127.0,1
2017-11-08,211.85,212.0,207.2401,209.16,12911093.0,0.0,1.0,211.571194714157,211.720997306591,206.967361575083,208.884734889842,12911093.0,1
2017-11-07,210.55,212.9,210.0556,212.03,10692542.0,0.0,1.0,210.27290557973,212.619812861195,209.779156235068,211.750957825078,10692542.0,1
2017-11-06,207.2,209.98,206.7,209.63,9748616.0,0.0,1.0,206.927314348706,209.703655728481,206.427972373926,209.354116346135,9748616.0,1
2017-11-03,207.2,208.69,205.341,208.69,8841024.0,0.0,1.0,206.927314348706,208.415353433549,205.070760886475,208.415353433549,8841024.0,1
2017-11-02,206.0,207.81,203.65,205.94,8557738.0,0.0,1.0,205.728893609235,207.536511557937,203.38198632777,205.668972572261,8557738.0,1
2017-11-01,209.35,209.97,204.6,207.2,12564446.0,0.0,1.0,209.074484840259,209.693668888986,204.330736079852,206.927314348706,12564446.0,1
2017-10-31,205.13,207.89,204.9,206.81,10297707.0,0.0,1.0,204.860038573118,207.616406273902,204.630341264719,206.537827608378,10297707.0,1
2017-10-30,201.86,206.0899,201.22,203.84,12601417.0,0.0,1.0,201.594342058059,205.8186752963,200.955184330341,203.571736278186,12601417.0,1
2017-10-27,197.8,201.87,196.75,201.86,14304835.0,0.0,1.0,197.539685222848,201.604328897554,196.49106707581,201.594342058059,14304835.0,1
2017-10-26,194.78,196.16,193.81,195.69,8068563.0,0.0,1.0,194.523659695178,195.90184354557,193.554936264106,195.432462089277,8068563.0,1
2017-10-25,197.08,199.22,191.17,193.66,20704030.0,0.0,1.0,196.820632779165,198.957816431222,190.918410637269,193.405133671672,20704030.0,1
2017-10-24,196.99,198.75,195.94,198.68,10181132.0,0.0,1.0,196.730751223705,198.488434974929,195.682133076667,198.41852709846,10181132.0,1
2017-10-23,197.78,198.85,195.8,196.62,10717376.0,0.0,1.0,197.519711543857,198.588303369885,195.542317323729,196.361238162368,10717376.0,1
2017-10-20,198.49,199.59,196.54,196.9,11290462.0,0.0,1.0,198.228777148044,199.327329492559,196.281343446403,196.640869668244,11290462.0,1
2017-10-19,194.44,198.0,192.4501,197.8,14269253.0,0.0,1.0,194.184107152328,197.73942201276,192.1968259611,197.539685222848,14269253.0,1
2017-10-18,198.11,198.14,193.32,197.58,14182907.0,0.0,1.0,197.849277247211,197.879237765698,193.065581128822,197.319974753945,14182907.0,1
2017-10-17,197.09,198.9,196.35,197.75,11964867.0,0.0,1.0,196.830619618661,198.638237567363,196.091593495987,197.48975102537,11964867.0,1
2017-10-16,195.8,198.048,193.24,197.93,14415958.0,0.0,1.0,195.542317323729,197.787358842338,192.985686412857,197.66951413629,14415958.0,1
2017-10-13,193.55,195.0,191.65,194.59,15718233.0,0.0,1.0,193.29527843722,194.743370164081,191.397778933057,194.333909744762,15718233.0,1
2017-10-12,191.08,193.09,189.9301,191.03,13207315.0,0.0,1.0,190.828529081809,192.835883820423,189.68014240821,190.778594884331,13207315.0,1
2017-10-11,189.6,191.0,187.74,190.94,13237734.0,0.0,1.0,189.350476836461,190.748634365844,187.49292469028,190.68871332887,13237734.0,1
2017-10-10,191.43,192.95,187.26,188.93,24371902.0,0.0,1.0,191.178068464154,192.696068067485,187.013556394492,188.681358590256,24371902.0,1
