RESULT_COUNT: 11579,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 2,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
2018-04-27,52.28,52.94,52.205,52.36,12302305.0,0.0,1.0,52.28,52.94,52.205,52.36,12302305.0,1
2018-04-26,52.99,53.11,52.255,52.44,17023948.0,0.0,1.0,52.99,53.11,52.255,52.44,17023948.0,1
2018-04-25,52.44,53.49,51.925,53.11,20977919.0,0.0,1.0,52.44,53.49,51.925,53.11,20977919.0,1
2018-04-24,52.95,53.745,52.18,52.51,23048912.0,0.0,1.0,52.95,53.745,52.18,52.51,23048912.0,1
2018-04-23,52.55,52.84,52.175,52.61,17722926.0,0.0,1.0,52.55,52.84,52.175,52.61,17722926.0,1
2018-04-20,51.93,52.82,51.82,52.56,31149270.0,0.0,1.0,51.93,52.82,51.82,52.56,31149270.0,1
2018-04-19,50.51,51.61,50.49,51.54,23669415.0,0.0,1.0,50.51,51.61,50.49,51.54,23669415.0,1
2018-04-18,50.78,50.97,50.26,50.39,21047027.0,0.0,1.0,50.78,50.97,50.26,50.39,21047027.0,1
2018-04-17,50.95,51.16,50.49,50.57,25506103.0,0.0,1.0,50.95,51.16,50.49,50.57,25506103.0,1
2018-04-16,50.59,51.335,50.31,50.8,31876289.0,0.0,1.0,50.59,51.335,50.31,50.8,31876289.0,1
2018-04-13,52.01,52.3,50.81,50.89,32051048.0,0.0,1.0,52.01,52.3,50.81,50.89,32051048.0,1
2018-04-12,52.16,53.27,52.03,52.7,19956862.0,0.0,1.0,52.16,53.27,52.03,52.7,19956862.0,1
2018-04-11,52.32,52.47,51.72,51.93,14669994.0,0.0,1.0,52.32,52.47,51.72,51.93,14669994.0,1
2018-04-10,52.99,53.06,52.12,52.62,14656293.0,0.0,1.0,52.99,53.06,52.12,52.62,14656293.0,1
2018-04-09,52.5,53.33,52.16,52.25,17031957.0,0.0,1.0,52.5,53.33,52.16,52.25,17031957.0,1
2018-04-06,52.65,52.92,51.9607,52.23,22943843.0,0.0,1.0,52.65,52.92,51.9607,52.23,22943843.0,1
2018-04-05,53.34,53.96,53.05,53.26,16482139.0,0.0,1.0,53.34,53.96,53.05,53.26,16482139.0,1
2018-04-04,51.13,53.04,51.01,52.91,15952121.0,0.0,1.0,51.13,53.04,51.01,52.91,15952121.0,1
2018-04-03,51.72,52.19,51.055,52.08,16643925.0,0.0,1.0,51.72,52.19,51.055,52.08,16643925.0,1
2018-04-02,52.37,52.4,50.415,51.35,23359785.0,0.0,1.0,52.37,52.4,50.415,51.35,23359785.0,1
2018-03-29,52.06,52.7515,51.72,52.41,17706766.0,0.0,1.0,52.06,52.7515,51.72,52.41,17706766.0,1
2018-03-28,51.16,51.93,50.945,51.48,23342454.0,0.0,1.0,51.16,51.93,50.945,51.48,23342454.0,1
2018-03-27,52.4,52.8,50.69,51.1,23669292.0,0.0,1.0,52.4,52.8,50.69,51.1,23669292.0,1
2018-03-26,51.95,52.55,51.52,52.29,26717990.0,0.0,1.0,51.95,52.55,51.52,52.29,26717990.0,1
2018-03-23,52.72,52.94,50.94,50.98,30975803.0,0.0,1.0,52.72,52.94,50.94,50.98,30975803.0,1
2018-03-22,54.21,54.28,52.175,52.53,32656339.0,0.0,1.0,54.21,54.28,52.175,52.53,32656339.0,1
2018-03-21,55.02,55.58,54.54,54.79,18997260.0,0.0,1.0,55.02,55.58,54.54,54.79,18997260.0,1
2018-03-20,55.77,55.89,54.655,54.9,26874569.0,0.0,1.0,55.77,55.89,54.655,54.9,26874569.0,1
